NOT A HEADER,TEXT,COUNT,CHECKED TABLE,
,Alcohol,1,yes,
,Benzodiazapines,1,,
,Central Nervous System (CNS) Depressants,1,,
,Clinical Impact:,2,,
,Diluent,4,yes,
,Drug Name,2,,
,Drug Name ,1,,
,Drug(s),1,,
,Drug(s) ,10,,
,Drug(s) Affecting Pharmacokinetics of CIPRO XR,1,,
,Drugs That are Affected by CIPRO,1,,
,Drugs That are Affected by CIPRO ,1,,
,Drugs That are Affected by Ciprofloxacin,9,,
,Oral drugs for which sevelamer did not alter the pharmacokinetics when administered concomitantly,1,,
,Oral drugs that are to be separated from Velphoro and meals,1,,
,Oral drugs that have demonstrated interaction with sevelamer and are to be dosed separately from Renagel,1,,
no,Room Temp.(25°C),2,,
no,"Table 3 Established and Potential Drug Interactions: Use With Caution, Alteration in Dose or Regimen May Be Needed Due to Drug Interaction Established Drug Interactions: See Clinical Pharmacology (12.3), Table 4 for Magnitude of Interaction. ",1,,
no,"Table 1	Oral drugs that can be administered concomitantly with Velphoro",1,,
,Drug,1,,
no,Table II. Clinically Significant Drug Interactions With Theophylline*,1,,
no,Table III. Drugs That Have Been Documented Not to Interact With Theophylline or Drugs That Produce No Clinically Significant Interaction With Theophylline*,1,,
,Antibiotics    ,1,,
,Classes of Drug ,2,,
,Classes of Drugs ,2,,
,Concomitant Drug Class:Specific Drugs\,2,,
,Drug,3,,
,Drug or Drug Class,15,,
,Drugs that alter thyroid hormone secretion,15,,
,"Drugs that may decrease T\4 \absorption, which may result in hypothyroidism",15,,
,"Drugs that may decrease thyroid hormone secretion, which may result in hypothyroidism",15,,
,"Drugs that may increase thyroid hormone secretion, which may result in hyperthyroidism",15,,
,"Drugs that may reduce TSH secretion - the reduction is not sustained; therefore, hypothyroidism does not occur",15,,
,HIV Antiviral Agents,5,,
,Interacting Agents ,1,,
,Interacting Agents  ,2,,
,Antiretrovirals,3,,
,Co-administered Drug,3,,
,Drug,3,,
,Drug ,1,,
no,Parameter,1,yes,
,\AEDCo-administered ,1,yes,
no,"\Atazanavir/RitonavirFor information regarding clinical recommendations, see \Drug Interactions (7)\.\, \Parallel group design; n = 23 for atazanavir/ritonavir + nevirapine, n = 22 for atazanavir/ritonavir without nevirapine. Changes in atazanavir PK are relative to atazanavir/ritonavir 300 mg/100 mg alone.",1,yes,
no,"\Atazanavir/RitonavirFor information regarding clinical recommendations, see Drug Interactions (7)\.\Parallel group design; n = 23 for atazanavir/ritonavir + nevirapine, n = 22 for atazanavir/ritonavir without nevirapine. Changes in atazanavir PK are relative to atazanavir/ritonavir 300 mg/100 mg alone.",1,yes,
,\Drug\,6,,
,\Interacting Agents\,1,,
,\AED Coadministered\,1,,
,\AED \Co\-\administered,2,,
,\AED \Coadministered,3,,
,\AED Coadministered,1,,
no,"\albuterol,\systemic and inhaled\amoxicillin\ampicillin,\with or without sulbactam\atenolol\azithromycin\caffeine,\dietary ingestion\cefaclor\co-trimoxazole\(trimethoprim and sulfamethoxazole)\diltiazem\dirithromycin\enflurane\famotidine\felodipine\finasteride\hydrocortisone\isoflurane\isoniazid\isradipine\influenza vaccine\ketoconazole\",1,,
no,"\albuterol,\   systemic and inhaled\amoxicillin\ampicillin,\   with or without sulbactam\atenolol\azithromycin\caffeine,\   dietary ingestion\cefaclor\co-trimoxazole\   (trimethoprim and sulfamethoxazole)\diltiazem\dirithromycin\enflurane\famotidine\felodipine\finasteride\hydrocortisone\isoflurane\isoniazid\isradipine\influenza vaccine\ketoconazole\",2,,
no,\AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide\,15,yes,
no,"\Amiodarone, amlodipine, ranolazine \",1,,
no,\AmiodaroneIodide (including iodine-containing Radiographic contrast agents)\,15,yes,
no,\Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate,1,yes,
no,\Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate,6,yes,
no,\Antacids - Aluminum & Magnesium Hydroxides - Simethicone Bile Acid Sequestrants - Cholestyramine - Colestipol Calcium Carbonate Cation Exchange Resins - Kayexalate Ferrous Sulfate Orlistat Sucralfate,8,yes,
no,\Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate\,29,yes,
no,\Antibiotics\ciprofloxacingentamicintobramycintrimethoprim with sulfamethoxazolevancomycin,1,yes,
,\Co-administered Drug \,1,,
,\Coadministered drug \,10,,
,\Concomitant\Drug Class: Drug Name\,1,,
,\Concomitant Drug\,7,,
,\Concomitant Drug Class: Drug Name\,1,,
,\CONCOMITANT  DRUG \,2,,
no,\Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide\,15,yes,
,\Drug\,7,,
,\Drug Class\,2,,
,"\Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)",1,,
,"\Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.2, 4, 5.2, 7.1, 7.2, 7.3, 7.4, 12.3)\",1,,
,"\Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)\",10,,
,\Drug or Drug Class\,38,,
,\Drugs that alter thyroid hormone secretion\,47,,
,\Drugs that may alter T\4\and T\3\metabolism\,17,,
,"\Drugs that may alter T\4\and T\3\serum transport - but FT\4\concentration remains normal; and, therefore, the patient remains euthyroid\",17,,
,\Drugs that may alter T\4 \and T\3 \metabolism\,14,,
,"\Drugs that may alter T\4 \and T\3 \serum transport - but FT\4 \concentration remains normal; and, therefore, the patient remains euthyroid\",14,,
,\Drugs that may alter T4 and T3 metabolism\,1,,
,"\Drugs that may alter T4 and T3 serum transport- but FT4 concentration remains normal; and, therefore, the patient remains euthyroid\",1,,
,\Drugs that may cause protein-binding site displacement\,32,,
,\Drugs that may decrease T\4\5' - deiodinase activity\,8,,
,"\Drugs that may decrease T\4\absorption, which may result in hypothyroidism\",25,,
,\Drugs that may decrease T\4 \5' - deiodinase activity\,23,,
,"\Drugs that may decrease T\4 \absorption, which may result in hypothyroidism\",23,,
,\Drugs that may decrease T4 5'-deiodinase activity\,1,,
,"\Drugs that may decrease T4 absorption, which may result in hypothyroidism\",1,,
,"\Drugs that may decrease thyroid hormone secretion, which may\result in hypothyroidism\",8,,
,"\Drugs that may decrease thyroid hormone secretion, which may \result in hypothyroidism\",23,,
,"\Drugs that may decrease thyroid hormone secretion, which may result in hypothyroidism\",1,,
