specID,tableID,labelDrug,interactDrug(WholeStub),cellID,cellRole,cellContent,WholeSuperRow,StructureType
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,NA,1.3,Header,"Drugs that may reduce TSH secretion - the reduction is not sustained; therefore, hypothyroidism does not occur",None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,30.3,Header,"Concurrent use of tri/tetracyclic antidepressants and levothyroxine may increase the therapeutic and toxic effects of both drugs, possibly due to increased receptor sensitivity to catecholamines.Toxic effects may include increased risk of cardiac arrhythmias and CNS stimulation; onset of action of tricyclics may be accelerated. Administration of sertraline in patients stabilized on levothyroxine may result in increased levothyroxine requirements.",None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,35.3,Header,Concurrent use may produce marked hypertension and tachycardia; cautious administration to patients receiving thyroid hormone therapy is recommended.,None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,0.3,Header,Effect,None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,34.3,Header,"Excessive use of thyroid hormones with growth hormones may accelerate epiphyseal closure. However, untreated hypothyroidism may interfere with growth response to growth hormone.",None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,12.3,Header,serum TBG concentration,None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,7.3,Header,"Iodide and drugs that contain pharmacologic amounts of iodide may cause hyperthyroidism in euthyroid patients with Grave's disease previously treated with antithyroid drugs or in euthyroid patients with thyroid autonomy (e.g., multinodular goiter or hyper functioning thyroid adenoma). Hyperthyroidism may develop over several weeks and may persist for several months after therapy discontinuation. Amiodarone may induce hyperthyroidism by causing thyroiditis.",None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,6.3,Header,"Drugs that may increase thyroid hormone secretion, which                                                                        may result in hyperthyroidism",None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,NA,3.3,Header,Drugs that alter thyroid hormone secretion,None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,2.3,Header,Use of these agents may result in a transient reduction in TSH secretion when administered at the following doses: dopamine ( ? 1 mcg/kg/min); Glucocorticoids (hydrocortisone ? 100 mg/day or equivalent); Octreotide ( > 100 mcg/day).,None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,37.3,Header,"Thyroid hormones may reduce the uptake of 123I, 131I, and 99mTc.",None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,33.3,Header,"Therapy with interferon-? has been associated with the development of antithyroid microsomal antibodies in 20% of patients and some have transient hypothyroidism, hyperthyroidism, or both. Patients who have antithyroid antibodies before treatment are at higher risk for thyroid dysfunction during treatment. Interleukin-2 has been associated with transient painless thyroiditis in 20% of patients. Interferon-? and -? have not been reported to cause thyroid dysfunction.",None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,13.3,Header,Androgens / Anabolic Steroids,None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,36.3,Header,Decreased theophylline clearance may occur in hypothyroid patients; clearance returns to normal when the euthyroid state is achieved.,None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,NA,8.3,Header,"Drugs that may decrease T                                    4                                    absorption, which may result in hypothyroidism",None,SUBHEADER
89bb1c1d-0bd0-d8d0-7099-28109c595fd9,13656,Levothyroxine Sodium,,5.3,Header,"Long-term lithium therapy can result in goiter in up to 50% of patients, and either subclinical or overt hypothyroidism, each in up to 20% of patients. The fetus, neonate, elderly and euthyroid patients with underlying thyroid disease (e.g., Hashimoto's thyroiditis or with Grave's disease previously treated with radioiodine or surgery) are among those individuals who are particularly susceptible to iodine-induced hypothyroidism. Oral cholecystographic agents and amiodarone are slowly excreted, producing more prolonged hypothyroidism than parenterally administered iodinated contrast agents. Long-term amino-glu-tethimide therapy may minimally decrease T4 and T3 levels and increase TSH, although all values remain within normal limits in most patients.",None,SUBHEADER
